GDI Rank,Country,Gender Development Index (GDI),Human Development Index (Female),Human Development Index (Male),Life Expectancy at Birth (Female),Life Expectancy at Birth (Male),Expected Years of Education (Female),Expected Years of Education (Male),Mean Years of Education (Female),Mean Years of Education (Male),Estimated Gross National Income per Capita (Female),Estimated Gross National Income per Capita (Male),Gender Inequality Index (GII),Maternal Mortality Ratio,Adolescent Birth Rate,Percent Representation in Parliament,Population with Secondary Education (Female),Population with Secondary Education (Male),Labour Force Participation Rate (Female),Labour Force Participation Rate (Male),Human Development Index (1990),Human Development Index (2000),Human Development Index (2010),Human Development Index (2011),Human Development Index (2012),Human Development Index (2013),Human Development Index (2014),Expected Years of Education,Mean Years of Education,Gross National Income (GNI) per Capita,GNI per Capita Rank Minus HDI Rank,Inequality-adjusted HDI (IHDI),IHDI Loss Percent,IHDI Rank Difference,Coefficient of Human Inequality,Inequality in Life Expectancy,Inequality-Adjusted Life Expectancy Index,Inequality in Education,Inequality-Adjusted Education Index,Inequality in Income,Inequality-Adjusted Income Index,Income Inequality (Quintile Ratio),Income Inequality (Palma Rati),Income Inequality (Gini Coefficient)
1,Norway,0.996,0.94,0.944,83.6,79.5,18.2,16.8,12.7,12.5,57140,72825,0.067,4,7.8,39.6,97.4,96.7,61.2,68.7,0.849,0.917,0.94,0.941,0.942,0.942,0.944,17.5,12.6,"64,992",5,0.893,5.4,0,5.3,3.4,0.916,2.3,0.886,10.2,0.878,4,0.9,26.8
2,Australia,0.976,0.922,0.945,84.5,80.3,20.7,19.7,13.1,12.9,33688,50914,0.11,6,12.1,30.5,94.3,94.6,58.8,71.8,0.865,0.898,0.927,0.93,0.932,0.933,0.935,20.2,13,"42,261",17,0.858,8.2,-2,7.9,4.2,0.92,1.9,0.914,17.7,0.752,5.8,1.3,34
3,Switzerland,0.95,0.898,0.945,85,80.8,15.7,15.9,11.5,13.1,44132,69077,0.028,6,1.9,28.5,95,96.6,61.8,74.9,0.831,0.888,0.924,0.925,0.927,0.928,0.93,15.8,12.8,"56,431",6,0.861,7.4,0,7.3,3.9,0.931,5.7,0.816,12.3,0.839,5.2,1.2,32.4
4,Denmark,0.977,0.912,0.934,82.2,78.3,19.3,18.1,12.8,12.7,36439,51727,0.048,5,5.1,38,95.5,96.6,58.7,66.4,0.799,0.862,0.908,0.92,0.921,0.923,0.923,18.7,12.7,"44,025",11,0.856,7.3,-1,7.1,4,0.889,3,0.897,14.4,0.787,4,0.9,26.9
5,Netherlands,0.947,0.893,0.943,83.3,79.7,18,17.9,11.6,12.2,29500,61641,0.062,6,6.2,36.9,87.7,90.5,58.5,70.6,0.829,0.877,0.909,0.919,0.92,0.92,0.922,17.9,11.9,"45,435",9,0.861,6.6,3,6.5,3.9,0.911,4.1,0.858,11.6,0.817,4.5,1,28.9
6,Germany,0.963,0.901,0.936,83.3,78.5,16.3,16.6,12.9,13.8,34886,53290,0.041,7,3.8,36.9,96.3,97,53.6,66.4,0.801,0.855,0.906,0.911,0.915,0.915,0.916,16.5,13.1,"43,919",11,0.853,6.9,0,6.7,3.7,0.902,2.4,0.871,14.1,0.79,4.7,1.1,30.6
6,Ireland,0.973,0.901,0.926,83,78.8,18.5,18.7,12.3,12,30104,49166,0.113,9,8.2,19.9,80.5,78.6,53.1,68.1,0.77,0.861,0.908,0.909,0.91,0.912,0.916,18.6,12.2,"39,568",16,0.836,8.6,-3,8.5,3.7,0.902,5.4,0.858,16.3,0.756,5.3,1.2,32.1
8,United States,0.995,0.911,0.916,81.4,76.7,17.2,15.7,13,12.9,43054,63158,0.28,28,31,19.4,95.1,94.8,56.3,68.9,0.859,0.883,0.909,0.911,0.912,0.913,0.915,16.5,12.9,"52,947",3,0.76,17,-20,15.7,6.2,0.853,5.3,0.842,35.6,0.61,9.8,2,41.1
9,Canada,0.982,0.904,0.921,84,80,16.3,15.5,13.1,13,33587,50853,0.129,11,14.5,28.2,100,100,61.6,71,0.849,0.867,0.903,0.909,0.91,0.912,0.913,15.9,13,"42,155",11,0.832,8.8,-2,8.6,4.6,0.91,3.9,0.841,17.4,0.754,5.8,1.3,33.7
9,New Zealand,0.961,0.894,0.93,83.6,80,20,18.3,12.5,12.6,24309,41372,0.157,8,25.3,31.4,95,95.3,62,73.8,0.82,0.874,0.905,0.907,0.909,0.911,0.913,19.2,12.5,"32,689",23,..,..,..,..,4.8,0.905,..,..,..,..,..,..,..
